observation,Ethical,NonEthical,Neutral,Leader,TotalAgents,EthicalRatio
0,5,5,4,1,15,0.4
1,5,8,1,1,15,0.4
2,5,9,0,1,15,0.4
3,5,9,0,1,15,0.4
4,5,9,0,1,15,0.4
5,5,9,0,1,15,0.4
