observation,Ethical,NonEthical,Neutral,Leader,TotalAgents,EthicalRatio
0,5,5,4,1,15,0.4
1,9,5,0,1,15,0.6666666666666666
2,9,5,0,1,15,0.6666666666666666
3,9,5,0,1,15,0.6666666666666666
4,10,4,0,1,15,0.7333333333333333
5,12,2,0,1,15,0.8666666666666667
