observation,Ethical,NonEthical,Neutral,Leader,TotalAgents,EthicalRatio
0,5,5,4,1,15,0.4
1,6,8,0,1,15,0.4666666666666667
2,6,8,0,1,15,0.4666666666666667
3,6,8,0,1,15,0.4666666666666667
4,6,8,0,1,15,0.4666666666666667
5,6,8,0,1,15,0.4666666666666667
